Sequence ID,Mean,SD
163,-8.696179952003744,7.600461539226299
164,-7.321519048549482,9.769975330012201
165,-7.603757500148561,5.250264430841092
166,-7.627460375410842,8.063075294490266
167,-9.107885085636514,5.467912953860577
168,-9.312964862832258,5.673265664161639
169,-9.50082536284767,7.134905710510986
170,-6.930962614110999,5.795486993683331
171,-6.904834104050908,4.869803788136233
172,-9.604816153131688,4.946426145645724
173,-6.493925356853815,5.163778646437111
174,-6.7695442117466005,7.4412939964125115
175,-7.047183570635176,7.53312971559125
176,-4.550503499021287,7.027183847345176
177,-5.099961305042355,6.211683144035097
178,-5.767113730464154,6.4977910894196595
179,-5.554801331317435,7.103986036103004
180,-9.7648420841585,4.303701864165375
181,-2.7464353055567368,8.053244762452213
182,-9.36016594347062,4.013199469350282
183,-8.896531744527701,3.829187769309178
184,-7.701174176416993,9.748309645471984
185,-5.198599970851788,12.949193998175714
186,-6.035666620298068,3.216477329072337
187,-5.802447155604045,7.008208686041833
188,-4.652332029327096,5.347537498245679
189,-2.922789371774667,7.754162474153386
190,-8.5730275183444,3.3568677218766894
191,-3.9668090576783346,10.649841385027488
192,-9.192221591601479,7.676412417464503
193,-8.929064267168295,3.9611588392400567
194,-8.922334682074856,6.117261273326677
195,-7.347511735455745,4.743591499746776
196,-4.426002507663057,10.297781358497463
197,-7.951606448409957,6.423841680261944
198,-11.596968591046585,4.843175279631224
199,-5.492841093287993,15.734234123243217
200,-6.515322624630214,14.4709823424596
201,-8.167239748753902,5.778390886462175
202,-8.375329725340164,4.881412755606734
203,-5.756878238910843,5.050231501871549
204,-4.475543917447526,14.046400637486917
205,-8.64446629149159,6.121153348245227
206,-3.6404537051666157,3.456671848942407
207,-9.445539934548503,5.3014153926390275
208,-6.395858478908604,8.373701388664838
209,-5.923160305783111,12.850061182297711
210,-10.135083865377792,4.869920299843207
211,-5.370977130485046,7.0133031772876
212,-5.792915339488798,6.962402080157851
213,-8.745226835937883,6.909318869500054
214,-6.678049954374811,9.581237510221777
215,-7.732327647444709,9.071055115007054
216,-9.680379071640058,5.072662889721437
217,-9.842107098455875,4.272306617024692
218,-3.776089567007126,9.72965245488989
219,-8.114476905286814,9.064015322701302
220,-6.579960287728271,6.707206255284051
221,-2.0846671588711967,6.257199063426136
222,-2.6691248609379765,6.658105885176232
223,-2.589731447641691,6.327587393863032
224,-3.4729457765900955,8.668493170758564
225,-6.748246525757135,9.78103594112663
226,-8.779458799377746,8.876553351572745
227,-6.7506290868633,9.668440494126529
228,-4.148522691868892,11.222807993152253
229,-7.242797762683242,9.064832653520403
230,-3.005845563053976,5.524694530344228
231,-4.862063613986696,12.414614767228437
232,-1.3602290898978107,10.651966166168407
233,-1.8242670594951509,11.2425562605361
234,-6.069848131378014,7.339385223040492
235,-1.5637157274703524,10.769289105898666
236,-5.736896224924043,7.428496553845794
237,0.33058957168129327,4.358478294829145
238,-9.916650190491167,6.059589604067691
239,-5.990347455287807,8.969657433449497
240,-4.492476151462823,7.42710508777029
241,-3.968487279168495,3.913028779691912
242,-3.2323841193182257,7.44001867004397
243,-4.066927587802679,8.214771918903669
244,-7.965730044209611,4.849899916779012
245,-3.047888093870151,6.519844636245011
246,-0.8677414321277241,11.546781986291393
247,-4.292007899462126,7.261744699836297
248,3.6761331034950953,14.899796054676841
249,-7.873734250650828,7.355387521780116
250,-8.653590593400214,7.086026253807516
251,-11.078078666970978,6.564307928267536
252,-7.567497868017959,2.4810793965916322
253,-7.978544963594916,4.244687041391078
254,-4.379887242019452,4.645437023837278
255,-8.913394055184302,4.308460908145476
256,-6.882350546615989,6.644599259921787
257,-8.796105879995174,5.264261784361007
258,-0.3415469385037773,6.688441043270036
259,-2.332974297969223,7.575717720730189
260,-6.687314763206915,3.890893828345926
261,-8.77470559909426,4.110071644086368
262,-9.564112489621198,4.283889773721912
263,-9.113321649728283,5.192543070770914
264,0.2446363423321699,7.778159802743788
265,-0.28715193946563705,8.372372302231087
266,-10.682665538310129,6.3793520292383
267,-7.958572603171936,6.671575437842487
268,-3.410348657654026,4.203547417337094
269,-8.776180079909874,3.126211354431474
270,-10.764688971547027,5.299457695768526
271,-9.625182328275299,5.597809355458928
272,-10.462793382438457,7.104343488636875
273,-7.6572558116601765,3.931906884750661
274,-10.642028151109518,5.242361340946914
275,-9.876085046064267,6.865778474423971
276,-9.910408129646504,5.757211850172357
277,-6.992345905481724,4.251288726265846
278,0.16664995618324255,7.204693471746945
279,-7.98370860165675,7.106893910737333
280,-11.002324987102183,4.915673329361453
281,-7.809394014042777,6.532533413322259
